,Open
2023-01-03 09:30:00,3853.2900390625
2023-01-03 10:30:00,3823.64990234375
2023-01-03 11:30:00,3815.469970703125
2023-01-03 12:30:00,3804.239990234375
2023-01-03 13:30:00,3810.10009765625
2023-01-03 14:30:00,3805.010009765625
2023-01-03 15:30:00,3818.5400390625
2023-01-04 09:30:00,3840.360107421875
2023-01-04 10:30:00,3830.5
2023-01-04 11:30:00,3850.510009765625
2023-01-04 12:30:00,3866.7900390625
2023-01-04 13:30:00,3863.25
2023-01-04 14:30:00,3829.43994140625
2023-01-04 15:30:00,3842.85009765625
2023-01-05 09:30:00,3839.739990234375
2023-01-05 10:30:00,3817.2099609375
2023-01-05 11:30:00,3807.080078125
2023-01-05 12:30:00,3811.6201171875
2023-01-05 13:30:00,3821.97998046875
2023-01-05 14:30:00,3815.659912109375
2023-01-05 15:30:00,3810.179931640625
2023-01-06 09:30:00,3823.3701171875
2023-01-06 10:30:00,3842.800048828125
2023-01-06 11:30:00,3867.56005859375
2023-01-06 12:30:00,3870.030029296875
2023-01-06 13:30:00,3875.050048828125
2023-01-06 14:30:00,3891.260009765625
2023-01-06 15:30:00,3897.8701171875
2023-01-09 09:30:00,3910.820068359375
2023-01-09 10:30:00,3928.5
2023-01-09 11:30:00,3949.35009765625
2023-01-09 12:30:00,3942.659912109375
2023-01-09 13:30:00,3933.7900390625
2023-01-09 14:30:00,3919.659912109375
2023-01-09 15:30:00,3897.409912109375
2023-01-10 09:30:00,3888.570068359375
2023-01-10 10:30:00,3896.280029296875
2023-01-10 11:30:00,3893.969970703125
2023-01-10 12:30:00,3893.97998046875
2023-01-10 13:30:00,3903.110107421875
2023-01-10 14:30:00,3912.8701171875
2023-01-10 15:30:00,3908.9599609375
2023-01-11 09:30:00,3932.35009765625
2023-01-11 10:30:00,3944.489990234375
2023-01-11 11:30:00,3939.81005859375
2023-01-11 12:30:00,3948.3798828125
2023-01-11 13:30:00,3952.070068359375
2023-01-11 14:30:00,3951.780029296875
2023-01-11 15:30:00,3959.75
2023-01-12 09:30:00,3977.570068359375
2023-01-12 10:30:00,3973.239990234375
2023-01-12 11:30:00,3970.679931640625
2023-01-12 12:30:00,3992.010009765625
2023-01-12 13:30:00,3975.550048828125
2023-01-12 14:30:00,3988.300048828125
2023-01-12 15:30:00,3980.3798828125
2023-01-13 09:30:00,3960.60009765625
2023-01-13 10:30:00,3978.9599609375
2023-01-13 11:30:00,3973.2900390625
2023-01-13 12:30:00,3978.0
2023-01-13 13:30:00,3977.52001953125
2023-01-13 14:30:00,3988.81005859375
2023-01-13 15:30:00,3996.050048828125
2023-01-17 09:30:00,3999.280029296875
2023-01-17 10:30:00,4010.429931640625
2023-01-17 11:30:00,3990.43994140625
2023-01-17 12:30:00,3989.89990234375
2023-01-17 13:30:00,3995.070068359375
2023-01-17 14:30:00,3992.1201171875
2023-01-17 15:30:00,3993.35009765625
2023-01-18 09:30:00,4002.25
2023-01-18 10:30:00,4007.60009765625
2023-01-18 11:30:00,3967.300048828125
2023-01-18 12:30:00,3950.39990234375
2023-01-18 13:30:00,3946.43994140625
2023-01-18 14:30:00,3950.679931640625
2023-01-18 15:30:00,3941.739990234375
2023-01-19 09:30:00,3911.840087890625
2023-01-19 10:30:00,3902.97998046875
2023-01-19 11:30:00,3890.580078125
2023-01-19 12:30:00,3896.159912109375
2023-01-19 13:30:00,3903.580078125
2023-01-19 14:30:00,3919.219970703125
2023-01-19 15:30:00,3915.1201171875
2023-01-20 09:30:00,3909.0400390625
2023-01-20 10:30:00,3922.43994140625
2023-01-20 11:30:00,3936.139892578125
2023-01-20 12:30:00,3933.5
2023-01-20 13:30:00,3929.199951171875
2023-01-20 14:30:00,3951.7099609375
2023-01-20 15:30:00,3964.449951171875
2023-01-23 09:30:00,3978.139892578125
2023-01-23 10:30:00,4005.39990234375
2023-01-23 11:30:00,4021.669921875
2023-01-23 12:30:00,4023.3798828125
2023-01-23 13:30:00,4031.780029296875
2023-01-23 14:30:00,4019.64990234375
2023-01-23 15:30:00,4011.330078125
2023-01-24 09:30:00,4001.739990234375
2023-01-24 10:30:00,4005.659912109375
2023-01-24 11:30:00,4019.610107421875
2023-01-24 12:30:00,4016.31005859375
2023-01-24 13:30:00,4017.52001953125
2023-01-24 14:30:00,4016.909912109375
2023-01-24 15:30:00,4018.389892578125
2023-01-25 09:30:00,3982.7099609375
2023-01-25 10:30:00,3961.169921875
2023-01-25 11:30:00,3973.760009765625
2023-01-25 12:30:00,3979.300048828125
